Periode;Data
1;4523.98
2;4456.74
3;4615.16
4;4798.95
5;4714.39
6;4697.56
7;4733.15
8;4850.88
9;4813.78
10;4885.71
11;4827.09
12;4843.19
13;4846.7
14;4823.57
15;4914.74
16;4838.58
17;4761.71
18;4711.88
19;4814.73
20;4853.92
21;4848.06
22;4835.14
23;4834.57
24;4971.58
25;5110.18
26;5197.25
27;5215.99
28;5420.25
29;5377.2
30;5416.04
31;5438.83
32;5353.46
33;5281.92
34;5267.77
35;5388.91
36;5364.8
37;5399.88
38;5409.24
39;5410.27
40;5362.66
41;5231.97
42;5170.11
43;5122.1
44;5245.96
45;5308.13
46;5231.65
47;5027.7
48;5296.71
49;5272.98
50;5254.31
51;5312.84
52;5360.77
53;5371.67
54;5350.93
55;5385.91
56;5391.21
57;5390.68
58;5540.43
59;5567.13
60;5568.11
61;5616.54
62;5664.48
63;5685.3
64;5683.38
65;5675.22
66;5791.88
67;5716.81
68;5742.45
69;5675.52
70;5723.64
71;5829.71
72;5829.71
73;5831.79
74;5765.42
75;5831.03
76;5777.48
77;5766.14
78;5893.84
79;5915.36
80;5864.06
81;5857.12
82;5872.39
83;5911.71
84;5900.85
85;5924.12
86;5929.55
87;5975.28
88;6039.54
89;6021.83
90;6051.73
91;6067.14
92;5952.14
93;6119.42
94;6221.01
95;6355.65
96;6353.74
97;6370.06
98;6490.9
99;6660.62
100;6628.82
101;6505.52
102;6591.58
103;6619.8
104;6582.32
105;6433.32
106;6304.95
107;6210.7
108;6188.99
109;6270.33
110;6337.69
111;5919.24
112;5792.35
113;5956.83
114;5783.31
115;5975.74
116;5983.59
117;5993.63
118;5993.63
119;5821.81
120;5799.24
121;5944.07
122;5872.78
123;5989.14
124;6007.54
125;6077.17
126;5783.8
127;5968.75
128;6018.46
129;5931.28
130;5957.74
131;5976.55
132;5731.94
133;5756.49
134;5837.29
135;5784.92
136;5906.29
137;5874.15
138;6012.35
139;6006.2
140;6056.12
141;6169.84
142;6163.6
143;6194.5
144;6274.54
